Rule ID,Rule Name,Population Group,Parameter,Summary,Analysis,Conclusion
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Business Non-High,No. of Occurrences,"No alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023; therefore, no analysis was performed. The current thresholds are recommended to be maintained.",,
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Business Non-High,Ratio Lower Bound,"No alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023; therefore, no analysis was performed. The current thresholds are recommended to be maintained.",,
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Business Non-High,Ratio Upper Bound,"No alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023; therefore, no analysis was performed. The current thresholds are recommended to be maintained.",,
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Business Non-High,Sum Lower Bound,"No alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023; therefore, no analysis was performed. The current thresholds are recommended to be maintained.",,
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal High,No. of Occurrences,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. Seven (7) rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the No. of Occurrences threshold, which was lowered from the production value of two (2) to the below-the-line testing value of two (2). Rule breaks were generated for values ranging between two (2) and three (3). Analysis revealed two (2) interesting rule breaks in the population of Seven (7) rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to maintain the No. of Occurrences threshold at two (2).",
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal High,Ratio Lower Bound,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. Seven (7) rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the Ratio Lower Bound threshold, which was lowered from the production value of 90.00% to the below-the-line testing value of 80.00%. Rule breaks were generated for values ranging between 0.82% and 1.18%. Analysis revealed two (2) interesting rule breaks in the population of Seven (7) rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to lower the Ratio Lower Bound threshold from 90.00% to 80.00%. At the recommended threshold, the effectiveness of the delta population is nan%.",
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal High,Ratio Upper Bound,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. Seven (7) rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the Ratio Upper Bound threshold, which was lowered from the production value of 110.00% to the below-the-line testing value of 120.00%. Rule breaks were generated for values ranging between 0.82% and 1.18%. Analysis revealed two (2) interesting rule breaks in the population of Seven (7) rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to lower the Ratio Upper Bound threshold from 110.00% to 120.00%. At the recommended threshold, the effectiveness of the delta population is 28.57%.",
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal High,Sum Lower Bound,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. Seven (7) rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the Sum Lower Bound threshold, which was lowered from the production value of $5,000.00 to the below-the-line testing value of $3,700.00. Rule breaks were generated for values ranging between $4,166.72 and $15,582.78. Analysis revealed two (2) interesting rule breaks in the population of Seven (7) rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to maintain the Sum Lower Bound threshold at $5,000.00.",
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal Non-High,No. of Occurrences,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. 10 rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the No. of Occurrences threshold, which was lowered from the production value of two (2) to the below-the-line testing value of two (2). Rule breaks were generated for values ranging between two (2) and three (3). Analysis revealed one (1) interesting rule break in the population of 10 rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to maintain the No. of Occurrences threshold at two (2).",
AML-FTF-AWR-CSH-A-D05-FTR,Flow Through of Funds – Incoming Wire/ACH – Outgoing Cash,Personal Non-High,Ratio Lower Bound,"Alerts generated in the Actimize UAT environment between 07/01/2023  and  10/31/2023 were extracted for review. 10 rule breaks generated during the testing period, which were reviewed by the Bank for quality and used for analysis.","Production below-the-line calibration was conducted on the Ratio Lower Bound threshold, which was lowered from the production value of 90.00% to the below-the-line testing value of 80.00%. Rule breaks were generated for values ranging between 0.85% and 1.17%. Analysis revealed one (1) interesting rule break in the population of 10 rule breaks. ###INSERT TUNING DECISION### Therefore, it is recommended to lower the Ratio Lower Bound threshold from 90.00% to 83.00%. At the recommended threshold, the effectiveness of the delta population is nan%.",
